Price,House_Type,Area_in_sq_ft,No._of_Bedrooms,Location,City/County
1675000,House,2716,5,Wimbledon,London
650000,Flat / Apartment,814,2,Clerkenwell,London
735000,Flat / Apartment,761,2,Putney,London
1765000,House,1986,4,Putney,London
675000,Flat / Apartment,700,2,Putney,London
420000,Flat / Apartment,403,1,,London
1475000,House,1548,4,,London
650000,New development,560,1, Fulham,London
2500000,House,1308,3,,London
925000,Flat / Apartment,646,2,,London
2400000,House,3392,6,,London
2500000,House,2974,6,Highgate,London
2795000,House,5294,5,Walton-on-Thames,Surrey
725000,Flat / Apartment,778,2, St. John's Wood,London
750000,Flat / Apartment,647,2,17 Abercorn Place,London
12500000,House,4596,6,Regents Park,London
1450000,Flat / Apartment,1702,3,,Twickenham
1250000,House,3503,6, Coulsdon,Surrey
2275000,New development,1173,3,Primrose Hill,London
1075000,Duplex,865,2,,Holland Park
500000,Flat / Apartment,597,1,,London
5500000,House,3016,4,Marylebone,London
8950000,New development,3154,4,10 Draycott Avenue,London
1175000,Flat / Apartment,765,2,,London
550000,Flat / Apartment,479,1,Islington,London
1300000,House,1101,3, Islington,London
800000,Flat / Apartment,1177,3,South Hampstead,London
3500000,House,2331,4,Belsize Park,London
374950,New development,664,2,Esher,Surrey
400000,Flat / Apartment,805,2, Surbiton,Surrey
1100000,Flat / Apartment,582,2,20-21 Wetherby Gardens,London
1200000,House,1494,4,,London
1250000,House,1507,4,,London
695000,Flat / Apartment,945,3,,London
1735000,House,2118,4,Chiswick,London
2350000,House,2297,5,Chiswick,London
1200000,House,1351,4,Chiswick,London
975000,Flat / Apartment,749,2,,London
850000,House,1177,3,Barnes,London
1599950,House,1884,4,Fulham,London
925000,Flat / Apartment,1321,2,,London
650000,Flat / Apartment,869,3,,Battersea
550000,Flat / Apartment,670,1,,London
9975000,House,10100,10, Battersea,London
1850000,House,1910,5,,London
525000,New development,590,1,,London
2200000,House,2239,4,,London
3450000,House,5599,6,Walton-on-Thames,Surrey
1999999,Flat / Apartment,1608,3, Victoria,London
725000,House,884,3,South Hackney,London
1750000,Flat / Apartment,1232,2,Grove End Road,London
5250000,Flat / Apartment,2299,3,,London
1250000,New development,1307,3,Crouch End,London
490000,New development,570,1, Downs Road,Clapton
3350000,Penthouse,2185,3,Coleridge Gardens,London
1000000,Flat / Apartment,1228,3,Battersea,London
2350000,House,2511,4,Barnes,London
2095000,Flat / Apartment,1528,3,Chelsea Harbour,London
1250000,Flat / Apartment,811,2, Bayswater,London
735000,Flat / Apartment,969,2,,London
875000,House,1132,4,Tooting,London
1250000,House,2498,6,,London
595000,Flat / Apartment,643,2,,London
1675000,House,5022,3,Watford,Hertfordshire
2595000,House,4858,6,Northwood,Middlesex
820000,House,974,3,Morgan Street,London
830000,Flat / Apartment,850,2,Regent's Park,London
500000,Flat / Apartment,458,1,Kentish Town,London
2500000,House,5999,7,Northwood,Middlesex
7500000,House,3851,6,St John's Wood,London
749950,Flat / Apartment,1382,3,Putney,London
480000,Flat / Apartment,448,1,,London
3500000,House,1763,4,Marylebone,London
2100000,Flat / Apartment,1208,3,Marylebone,London
650000,New development,1023,2, Ealing,London
1050000,House,1693,4,Thames Ditton,Surrey
1300000,House,1890,5,,London
625000,House,1348,4,Kidbrooke,London
625000,Flat / Apartment,540,1,Clerkenwell,London
1100000,New development,791,2,Westminster,London
5950000,House,2646,4,,London
1325000,House,1375,4,,London
1250000,Flat / Apartment,1068,2,,London
2300000,House,1119,3,,London
1500000,House,1811,4,Hackney,London
1350000,House,1603,5,,London
799995,Flat / Apartment,942,3, Canary Wharf,London
795000,Flat / Apartment,495,1,,London
525000,House,829,2,Woodford Green,Essex
2595000,House,2120,5,Fulham,London
820000,Flat / Apartment,631,2, Westminster,London
1200000,House,2108,4,Surbiton,Surrey
680000,Flat / Apartment,705,2,,London
2300000,House,1956,3,,London
2300000,House,2083,5,Barnes,London
4000000,House,3714,5,Barnes,London
500000,Flat / Apartment,516,2,,London
